x,y,z
0.000,0.000,2.500
0.100,0.000,2.500
0.200,0.000,2.500
0.300,0.000,2.500
0.400,0.000,2.500
0.500,0.000,2.500
0.600,0.000,2.500
0.700,0.000,2.500
0.800,0.000,2.500
0.900,0.000,2.500
1.000,0.000,2.500
1.100,0.000,2.500
1.200,0.000,2.500
1.300,0.000,2.500
1.400,0.000,2.500
1.500,0.000,2.500
1.600,0.000,2.500
1.700,0.000,2.500
1.800,0.000,2.500
1.900,0.000,2.500
2.000,0.000,2.500
2.100,0.000,2.500
2.200,0.000,2.500
2.300,0.000,2.500
2.400,0.000,2.500
2.500,0.000,2.500
2.600,0.000,2.500
2.700,0.000,2.500
2.800,0.000,2.500
2.900,0.000,2.500
3.000,0.000,2.500
3.100,0.000,2.500
3.200,0.000,2.500
3.300,0.000,2.500
3.400,0.000,2.500
3.500,0.000,2.500
3.600,0.000,2.500
3.700,0.000,2.500
3.800,0.000,2.500
3.900,0.000,2.500
4.000,0.000,2.500
4.100,0.000,2.500
4.200,0.000,2.500
4.300,0.000,2.500
4.400,0.000,2.500
4.500,0.000,2.500
4.600,0.000,2.500
4.700,0.000,2.500
4.800,0.000,2.500
4.900,0.000,2.500
5.000,0.000,2.500
5.100,0.000,2.500
5.200,0.000,2.500
5.300,0.000,2.500
5.400,0.000,2.500
5.500,0.000,2.500
5.600,0.000,2.500
5.700,0.000,2.500
5.800,0.000,2.500
5.900,0.000,2.500
6.000,0.000,2.500
6.100,0.000,2.500
6.200,0.000,2.500
6.300,0.000,2.500
6.400,0.000,2.500
6.500,0.000,2.500
6.600,0.000,2.500
6.700,0.000,2.500
6.800,0.000,2.500
6.900,0.000,2.500
7.000,0.000,2.500
7.100,0.000,2.500
7.200,0.000,2.500
7.300,0.000,2.500
7.400,0.000,2.500
7.500,0.000,2.500
7.600,0.000,2.500
7.700,0.000,2.500
7.800,0.000,2.500
7.900,0.000,2.500
8.000,0.000,2.500
8.100,0.000,2.500
8.200,0.000,2.500
8.300,0.000,2.500
8.400,0.000,2.500
8.500,0.000,2.500
8.600,0.000,2.500
8.700,0.000,2.500
8.800,0.000,2.500
8.900,0.000,2.500
9.000,0.000,2.500
9.100,0.000,2.500
9.200,0.000,2.500
9.300,0.000,2.500
9.400,0.000,2.500
9.500,0.000,2.500
9.600,0.000,2.500
9.700,0.000,2.500
9.800,0.000,2.500
9.900,0.000,2.500
10.000,0.000,2.500
10.100,0.000,2.500
10.200,0.000,2.500
10.300,0.000,2.500
10.400,0.000,2.500
10.500,0.000,2.500
10.600,0.000,2.500
10.700,0.000,2.500
10.800,0.000,2.500
10.900,0.000,2.500
11.000,0.000,2.500
